1;1
2;2
3;3
4;3
5;4
6;6
7;2
8;4
9;5
10;8
11;2
12;13
13;7
14;13
15;7
16;4
17;16
18;17
19;12
20;1
21;8
22;21
23;8
24;8
25;4
26;9
27;4
28;9
29;3
30;23
31;2
32;29
33;9
34;1
35;14
36;35
37;15
38;31
39;30
40;1
41;20
42;29
43;43
44;42
45;6
46;12
47;12
48;5
49;18
50;13
51;8
52;11
53;41
54;15
55;51
56;16
57;37
58;53
59;4
60;26
61;12
62;15
63;6
64;54
65;45
66;33
67;62
68;7
69;56
70;4
71;62
72;58
73;53
74;12
75;37
76;15
77;40
78;73
79;74
80;54
81;45
82;45
83;59
84;36
85;69
86;68
87;72
88;5
89;68
90;18
91;57
92;45
93;75
94;54
95;74
96;52
97;32
98;2
99;46
100;74
101;50
102;83
103;17
104;88
105;49
106;11
107;82
108;16
109;51
110;50
111;41
112;17
113;42
114;11
115;28
116;55
117;3
118;70
119;114
120;33
121;111
122;58
123;50
124;116
125;115
126;106
127;23
128;115
129;23
130;10
131;84
132;116
133;25
134;123
135;109
136;32
137;41
138;68
139;11
140;95
141;121
142;57
143;61
144;82
145;66
146;75
147;95
148;2
149;6
150;55
151;77
152;46
153;29
154;69
155;24
156;22
157;77
158;85
159;107
160;39
161;60
162;150
163;139
164;12
165;45
166;158
167;145
168;159
169;141
170;62
171;36
172;127
173;150
174;102
175;28
176;88
177;167
178;74
179;89
180;120
181;45
182;22
183;55
184;138
185;81
186;17
187;145
188;124
189;125
190;50
191;182
192;126
193;185
194;130
195;158
196;140
197;22
198;49
199;174
200;22
201;149
202;24
203;11
204;22
205;26
206;38
207;70
208;51
209;95
210;57
211;183
212;46
213;107
214;67
215;130
216;141
217;57
218;210
219;131
220;180
221;17
222;57
223;19
224;55
225;36
226;102
227;87
228;126
229;196
230;140
231;44
232;200
233;102
234;220
235;203
236;151
237;45
238;169
239;28
240;239
241;168
242;13
243;241
244;186
245;77
246;147
247;169
248;236
249;241
250;10
251;19
252;170
253;243
254;171
255;97
256;134
257;84
258;62
259;58
260;158
261;150
262;185
263;162
264;218
265;135
266;164
267;199
268;13
269;74
270;173
271;248
272;52
273;167
274;234
275;197
276;22
277;25
278;259
279;203
280;138
281;89
282;194
283;173
284;17
285;250
286;240
287;31
288;145
289;2
290;5
291;256
292;134
293;30
294;228
295;240
296;172
297;72
298;159
299;105
300;157
301;215
302;191
303;107
304;271
305;63
306;75
307;204
308;130
309;242
310;161
311;152
312;55
313;267
314;204
315;238
316;97
317;126
318;298
319;59
320;74
321;269
322;68
323;168
324;281
325;242
326;282
327;112
328;23
329;250
330;22
331;275
332;150
333;332
334;171
335;75
336;149
337;18
338;278
339;100
340;280
341;293
342;180
343;226
344;264
345;6
346;306
347;345
348;171
349;119
350;301
351;290
352;154
353;294
354;41
355;303
356;33
357;54
358;240
359;302
360;242
361;212
362;240
363;46
364;121
365;344
366;12
367;245
368;57
369;363
370;116
371;121
372;155
373;319
374;318
375;113
376;168
377;365
378;118
379;215
380;234
381;30
382;363
383;297
384;284
385;83
386;282
387;320
388;202
389;384
390;15
391;76
392;71
393;117
394;283
395;56
396;368
397;202
398;149
399;87
400;210
401;46
402;398
403;131
404;324
405;118
406;160
407;51
408;357
409;219
410;334
411;52
412;102
413;212
414;226
415;43
416;19
417;164
418;152
419;78
420;239
421;219
422;268
423;278
424;106
425;21
426;77
427;265
428;425
429;22
430;420
431;404
432;131
433;421
434;146
435;196
436;203
437;294
438;90
439;225
440;88
441;355
442;324
443;432
444;138
445;431
446;141
447;424
448;157
449;80
450;47
451;345
452;413
453;192
454;448
455;301
456;422
457;397
458;158
459;116
460;165
461;276
462;109
463;213
464;202
465;460
466;125
467;364
468;429
469;77
470;133
471;155
472;125
473;55
474;34
475;457
476;148
477;219
478;356
479;74
480;227
481;170
482;81
483;45
484;110
485;348
486;66
487;149
488;57
489;362
490;250
491;384
492;358
493;477
494;164
495;452
496;275
497;409
498;221
499;17
500;40
501;201
502;449
503;362
504;243
505;119
506;371
507;121
508;478
509;365
510;202
511;505
512;330
513;25
514;203
515;55
516;39
517;506
518;155
519;110
520;187
521;122
522;204
523;391
524;132
525;427
526;501
527;306
528;401
529;359
530;148
531;146
532;363
533;261
534;136
535;264
536;391
537;22
538;192
539;390
540;193
541;101
542;396
543;15
544;260
545;99
546;308
547;394
548;319
549;279
550;119
551;295
552;129
553;419
554;290
555;252
556;552
557;512
558;51
559;229
560;25
561;346
562;516
563;39
564;221
565;318
566;64
